Feature,Importance
PubchemFP651,0.00042440029111800504
PubchemFP215,0.00042035648845260837
PubchemFP592,0.0004197067070175621
PubchemFP1,0.00041766443074398344
PubchemFP406,0.00041753697313858933
PubchemFP149,0.0004105450219424982
PubchemFP157,0.0004095539806282357
PubchemFP683,0.0004073573016605875
PubchemFP649,0.00039926556852506046
PubchemFP547,0.0003989225522585737
PubchemFP286,0.0003925968049032203
PubchemFP423,0.0003925075350150403
PubchemFP376,0.0003855541965888401
PubchemFP465,0.0003848531934614877
PubchemFP548,0.00038189504796499617
PubchemFP472,0.0003723954250264849
PubchemFP396,0.00037095553697765523
PubchemFP801,0.00036632934003393616
PubchemFP763,0.0003582076045686663
PubchemFP690,0.00035525642291318
PubchemFP418,0.0003551990336452513
PubchemFP442,0.00035150494351490167
PubchemFP260,0.0003500539455549108
PubchemFP555,0.00034716467736527705
PubchemFP676,0.0003452024687325229
PubchemFP647,0.0003444134520531722
PubchemFP489,0.0003437986185277215
PubchemFP863,0.0003418574417642209
PubchemFP333,0.0003415476916767562
PubchemFP560,0.00033399560421446033
PubchemFP359,0.00033383551806759196
PubchemFP541,0.0003318515967642398
PubchemFP522,0.0003248553523818257
PubchemFP216,0.0003215373504285152
PubchemFP498,0.00031972582599260253
PubchemFP586,0.0003188283087363992
PubchemFP574,0.00031667452517781505
PubchemFP619,0.00031175483885446253
PubchemFP785,0.000308319471990079
PubchemFP486,0.00029676706598162384
PubchemFP316,0.0002926815035219845
PubchemFP412,0.0002923735376067909
PubchemFP499,0.0002894452984279982
PubchemFP757,0.0002834988717250325
PubchemFP826,0.00028227580646502564
PubchemFP483,0.00028019618846269784
PubchemFP160,0.00027956472339141404
PubchemFP414,0.0002792169117782646
PubchemFP454,0.0002783377368761068
PubchemFP398,0.00027832514929846216
PubchemFP654,0.0002779416853766577
PubchemFP517,0.0002762875258918971
PubchemFP425,0.00027546560850665703
PubchemFP148,0.00027457408057686677
PubchemFP596,0.000274230526289053
PubchemFP861,0.0002695056651165627
PubchemFP616,0.0002693558642404465
PubchemFP523,0.000269257992988186
PubchemFP812,0.00026344884294254807
PubchemFP347,0.00025591410344859636
PubchemFP653,0.00024822378225388623
PubchemFP314,0.0002475706079940882
PubchemFP378,0.00024743243639917126
PubchemFP506,0.0002443905378177079
PubchemFP116,0.00024311176930917275
PubchemFP388,0.0002396489731910206
PubchemFP332,0.00023948135236063133
PubchemFP655,0.00023415792676610852
PubchemFP450,0.00023032426919513657
PubchemFP387,0.0002302688944917165
PubchemFP507,0.0002286938087350274
PubchemFP457,0.00022838254392900571
PubchemFP34,0.00022800687425735761
PubchemFP771,0.00022624453372060153
PubchemFP487,0.00022364627721278529
PubchemFP606,0.00021743034198013427
PubchemFP358,0.00021737570429222086
